italo-disco.net,,SPOTIFY,,,,,,,,,,CONFRONTO
NOME,,SPOTY ARTIST,,,,,,,,,,
Vanessa,,Peter Jacques Band,NON PRESENTE,,,,,,,,,#N/A
Via Verdi,,Peter Richard,NON PRESENTE,,,,,,,,,#N/A
Virgin,,Phaeax,NON PRESENTE,,,,,,,,,#N/A
Whish Key,,Pineapples / Roberto Ferrante / Douglas Roop,NON PRESENTE,,,,,,,,,#N/A
Zanni,,Pino D'Angiò,NON PRESENTE,,,,,,,,,#N/A
,,Plastic Mode,NON PRESENTE,,,,,,,,,#N/A
,,Plastic Mode / Flemming Dalum,NON PRESENTE,,,,,,,,,#N/A
,,Plustwo,NON PRESENTE,,,,,,,,,#N/A
,,Pluton and Humanoids,NON PRESENTE,,,,,,,,,#N/A
,,Proxyon,NON PRESENTE,,,,,,,,,#N/A
,,Purple Flash,NON PRESENTE,,,,,,,,,#N/A
,,Q,NON PRESENTE,,,,,,,,,#N/A
,,R. Bais,NON PRESENTE,,,,,,,,,#N/A
,,Radiorama,NON PRESENTE,,,,,,,,,#N/A
,,Radiorama / Mike Candys,NON PRESENTE,,,,,,,,,#N/A
,,Riccardo Cioni / D.J.F.T. Band,NON PRESENTE,,,,,,,,,#N/A
,,Righeira,NON PRESENTE,,,,,,,,,#N/A
,,Robert Camero,NON PRESENTE,,,,,,,,,#N/A
,,Rocky M,NON PRESENTE,,,,,,,,,#N/A
,, Roby,NON PRESENTE,,,,,,,,,
,,Rofo,NON PRESENTE,,,,,,,,,#N/A
,,Roger Meno,NON PRESENTE,,,,,,,,,#N/A
,,Roni Griffith,NON PRESENTE,,,,,,,,,#N/A
,,Ryan Paris,PRESENTE,,,,,,,,,113
,,Sabrina,PRESENTE,,,,,,,,,115
,,Sandra,NON PRESENTE,,,,,,,,,#N/A
,,Sandy Marton,NON PRESENTE,,,,,,,,,#N/A
,,Savage,PRESENTE,,,,,,,,,117
,,Scotch,PRESENTE,,,,,,,,,118
,,Secret Service,NON PRESENTE,,,,,,,,,#N/A
,,Shy Rose,NON PRESENTE,,,,,,,,,#N/A
,,Shy Rose / Toney D,NON PRESENTE,,,,,,,,,#N/A
,,Silent Circle,NON PRESENTE,,,,,,,,,#N/A
,,Silver Pozzoli,PRESENTE,,,,,,,,,120
,,Some Bizarre,NON PRESENTE,,,,,,,,,#N/A
,,Squash Gang,NON PRESENTE,,,,,,,,,#N/A
,,Styloo,NON PRESENTE,,,,,,,,,#N/A
,,Sun-la-shan,NON PRESENTE,,,,,,,,,#N/A
,,Suzy Q,NON PRESENTE,,,,,,,,,#N/A
,,Sweet Connection,NON PRESENTE,,,,,,,,,#N/A
,,Systems In Blue,NON PRESENTE,,,,,,,,,#N/A
,,T.ark,NON PRESENTE,,,,,,,,,#N/A
,,Tantra,NON PRESENTE,,,,,,,,,#N/A
,,Tapps,NON PRESENTE,,,,,,,,,#N/A
,,The Flirts,NON PRESENTE,,,,,,,,,#N/A
,,The Twins,NON PRESENTE,,,,,,,,,#N/A
,,Tom Hooker,PRESENTE,,,,,,,,,130
,,Tam Harrow,NON PRESENTE,,,,,,,,,#N/A
,,Tony Esposito,NON PRESENTE,,,,,,,,,#N/A
,,Topo,NON PRESENTE,,,,,,,,,#N/A
,,Trans Volta,NON PRESENTE,,,,,,,,,#N/A
,,Trans-X,NON PRESENTE,,,,,,,,,#N/A
,,Valerie Dore,PRESENTE,,,,,,,,,135
,,Vivien Vee,NON PRESENTE,,,,,,,,,#N/A
,,Waterfront Home,NON PRESENTE,,,,,,,,,#N/A
,,Wish Key,NON PRESENTE,,,,,,,,,#N/A
